,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
10840,Alvin and the Chipmunks: Chipwrecked,Wii,Misc,6.9,0.09,0.07,0.0,0.01,0.01,2011
10841,Yaiba: Ninja Gaiden Z,PS3,Misc,6.9,0.1,0.05,0.0,0.03,0.02,2014
10842,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,Misc,6.9,0.09,0.0,0.09,0.0,0.0,2010
10843,Playboy: The Mansion,XB,Simulation,6.9,0.09000000000000001,0.07,0.0,0.02,0.0,2005
10844,Everyday House Tamagotchi,3DS,Simulation,6.9,0.09,0.0,0.09,0.0,0.0,2012
10845,Harvest Moon: Skytree Village,3DS,Simulation,5.0,0.09,0.06,0.0,0.02,0.01,2016
10846,Animal Planet: Vet Life,Wii,Simulation,5.0,0.09,0.08,0.0,0.0,0.01,2009
10847,Cake Mania: Main Street,DS,Simulation,5.0,0.09,0.08,0.0,0.0,0.01,2011
10848,Sidewinder Max,PS2,Simulation,5.0,0.09,0.0,0.09,0.0,0.0,2000
10849,Petz: Saddle Club,PSP,Simulation,5.0,0.09,0.08,0.0,0.0,0.01,2009
10850,Jambo! Safari Animal Rescue,Wii,Simulation,5.0,0.09,0.07,0.0,0.01,0.01,2009
10851,BIT.TRIP COMPLETE,Wii,Misc,8.1,0.09,0.06,0.0,0.02,0.01,2011
10852,The Weakest Link,PS,Misc,8.1,0.09,0.05,0.0,0.03,0.01,2001
10853,Game Hits!,DS,Misc,8.1,0.09,0.07,0.0,0.01,0.01,2010
10854,Roary the Racing Car,DS,Misc,8.1,0.09,0.0,0.0,0.08,0.01,2009
10855,The Bachelor: The Videogame,DS,Misc,8.1,0.09,0.08,0.0,0.0,0.01,2010
10856,Yoostar on MTV,X360,Misc,8.1,0.09,0.08,0.0,0.0,0.01,2011
10857,Aikatsu! My No.1 Stage!,3DS,Misc,8.1,0.09,0.0,0.09,0.0,0.0,2015
10858,Karaoke Revolution,XB,Misc,8.1,0.08,0.06,0.0,0.02,0.0,2004
10859,My Stop Smoking Coach: Allen Carr's EasyWay,DS,Misc,8.1,0.09,0.07,0.0,0.01,0.01,2008
10860,Puss in Boots,PS3,Misc,8.1,0.09,0.07,0.0,0.01,0.01,2011
10861,Karaoke Joysound Wii DX,Wii,Misc,8.1,0.09,0.0,0.09,0.0,0.0,2009
10862,Unou no Tatsujin: Soukai! Machigai Museum 2,DS,Misc,8.1,0.09,0.0,0.09,0.0,0.0,2007
10863,SingStar Guitar,PS3,Misc,8.1,0.1,0.0,0.0,0.08,0.02,2010
10864,Family Party: 30 Great Games,Wii,Misc,8.1,0.09999999999999999,0.08,0.0,0.01,0.01,2008
10865,Konami Classics Vol. 1,X360,Misc,8.1,0.09,0.08,0.0,0.0,0.01,2009
10866,SingStar Apres-Ski Party 2,PS3,Misc,8.1,0.08,0.0,0.0,0.07,0.01,2010
10867,Bleach: Heat the Soul 4,PSP,Fighting,8.1,0.08,0.0,0.08,0.0,0.0,2007
10868,BlazBlue: Cross Tag Battle,PS4,Fighting,8.1,0.08,0.04,0.03,0.0,0.01,2018
10869,BlazBlue: Chrono Phantasma Extend,XOne,Fighting,8.1,0.07999999999999999,0.06,0.0,0.01,0.01,2015
10870,Guilty Gear XX Slash,PS2,Fighting,8.1,0.08,0.0,0.08,0.0,0.0,2006
10871,Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,Fighting,8.1,0.08,0.0,0.08,0.0,0.0,2007
10872,Supremacy MMA,X360,Fighting,5.0,0.08,0.05,0.0,0.02,0.01,2011
10873,Kamen Rider: Super Climax Heroes,Wii,Fighting,5.0,0.08,0.0,0.08,0.0,0.0,2012
10874,The King of Fighters 2006,PS2,Fighting,5.0,0.07,0.01,0.05,0.01,0.0,2006
10875,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,Adventure,5.0,0.08,0.0,0.08,0.0,0.0,2004
10876,Princess Isabella: A Witch's Curse,DS,Adventure,5.0,0.09,0.05,0.0,0.03,0.01,2010
10877,Super Robot Wars OG: The Moon Dwellers,PS3,Misc,5.0,0.08,0.0,0.08,0.0,0.0,2016
10878,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,Misc,5.0,0.08,0.0,0.08,0.0,0.0,2010
10879,Grease Dance,PS3,Misc,5.0,0.08,0.05,0.0,0.02,0.01,2011
10880,My Friends,DS,Misc,5.0,0.08,0.07,0.0,0.0,0.01,2009
10881,Storybook Workshop,Wii,Misc,5.0,0.08,0.07,0.0,0.0,0.01,2009
10882,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,Fighting,5.0,0.08,0.0,0.08,0.0,0.0,1994
10883,Sentimental Graffiti 2,DC,Adventure,5.0,0.08,0.0,0.08,0.0,0.0,2000
10884,Harvey Birdman: Attorney at Law,Wii,Adventure,5.0,0.09,0.08,0.0,0.0,0.01,2008
10885,Martian Panic,Wii,Adventure,5.0,0.09,0.08,0.0,0.0,0.01,2010
10886,Adventure Time: The Secret of the Nameless Kingdom,3DS,Adventure,5.0,0.08,0.0,0.0,0.08,0.0,2014
10887,The Hidden,3DS,Adventure,5.0,0.09,0.08,0.0,0.0,0.01,2011
10888,The Spiderwick Chronicles,DS,Adventure,5.0,0.08,0.07,0.0,0.0,0.01,2008
10889,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS,Adventure,5.0,0.08,0.0,0.08,0.0,0.0,2009
10890,The Sexy Brutale,PS4,Adventure,5.0,0.08,0.05,0.0,0.02,0.01,2017
10891,Samurai Shodown III,NG,Fighting,5.0,0.08,0.0,0.08,0.0,0.0,1995
10892,The King of Fighters EX2: Howling Blood,GBA,Fighting,7.9,0.08,0.06,0.0,0.02,0.0,2003
10893,The King of Fighters '98: Dream Match Never Ends,PS,Fighting,7.9,0.09,0.05,0.0,0.03,0.01,1999
10894,Gundam Seed: Battle Assault,GBA,Fighting,6.5,0.08,0.06,0.0,0.02,0.0,2004
10895,Mortal Kombat Kollection,PS2,Fighting,6.5,0.08,0.04,0.0,0.03,0.01,2008
10896,Zatch Bell! Mamodo Battles,PS2,Fighting,6.5,0.08,0.04,0.0,0.03,0.01,2005
10897,Naruto Shippuden: Shinobi Rumble!!,DS,Fighting,6.5,0.08,0.03,0.05,0.0,0.0,2011
10898,Minecraft: Story Mode - Season Two,X360,Adventure,6.5,0.08,0.05,0.0,0.02,0.01,2017
10899,Armorines: Project S.W.A.R.M.,PS,Shooter,3.2,0.09,0.05,0.0,0.03,0.01,2000
10900,RTX Red Rock,PS2,Shooter,3.2,0.08,0.04,0.0,0.03,0.01,2003
10901,Metal Slug Advance,GBA,Shooter,3.2,0.08,0.06,0.0,0.02,0.0,2004
10902,Far Cry Vengeance,Wii,Shooter,3.2,0.07999999999999999,0.06,0.0,0.01,0.01,2006
10903,Sega Ages: After Burner II,SAT,Shooter,3.2,0.08,0.0,0.08,0.0,0.0,1996
10904,PAC-MAN and the Ghostly Adventures,X360,Platform,3.2,0.08,0.04,0.0,0.03,0.01,2013
10905,Nano Assault,3DS,Shooter,6.0,0.09,0.08,0.0,0.0,0.01,2011
10906,Earth Defense Force 4.1: The Shadow of New Despair,PS4,Shooter,6.0,0.08,0.05,0.0,0.02,0.01,2015
10907,Aliens versus Predator: Extinction,XB,Strategy,6.0,0.08,0.06,0.0,0.02,0.0,2003
10908,Star Wars: Empire at War,PC,Strategy,6.0,0.09,0.01,0.0,0.07,0.01,2006
10909,RollerCoaster Tycoon 3: Platinum,PC,Strategy,6.0,0.07999999999999999,0.01,0.0,0.06,0.01,2006
10910,Tears to Tiara: Kakan no Daichi,PS3,Strategy,6.0,0.08,0.0,0.08,0.0,0.0,2008
10911,ARK: Survival Evolved,NS,Action-Adventure,4.0,0.08,0.07,0.0,0.0,0.01,2018
10912,How to Train Your Dragon 2,WiiU,Action-Adventure,4.0,0.09,0.03,0.0,0.05,0.01,2014
10913,Darksiders II: Deathinitive Edition,XOne,Action-Adventure,7.5,0.09,0.05,0.0,0.03,0.01,2015
10914,Disney Infinity 2.0: Marvel Super Heroes,PSV,Action-Adventure,7.5,0.08,0.0,0.0,0.06,0.02,2015
10915,Carol Vorderman's Sudoku,PSP,Puzzle,7.4,0.06999999999999999,0.06,0.0,0.0,0.01,2007
10916,"Warhammer 40,000: Dawn of War II - Retribution",PC,Strategy,7.9,0.08,0.0,0.0,0.06,0.02,2011
10917,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,Strategy,7.9,0.08,0.0,0.08,0.0,0.0,2004
10918,Goblin Commander: Unleash the Horde,XB,Strategy,7.9,0.08,0.06,0.0,0.02,0.0,2003
10919,Evolution Worlds,GC,Role-Playing,6.5,0.08,0.06,0.0,0.02,0.0,2002
10920,A-Train,PS,Strategy,6.0,0.07999999999999999,0.02,0.04,0.01,0.01,1996
10921,Onimusha Tactics,GBA,Strategy,6.0,0.08,0.06,0.0,0.02,0.0,2003
10922,Nobunaga's Ambition: Rise to Power,PS2,Strategy,6.0,0.08,0.0,0.08,0.0,0.0,2008
10923,7 Wonders of the Ancient World,PSP,Puzzle,5.4,0.08,0.07,0.0,0.0,0.01,2007
10924,Wordfish,DS,Puzzle,5.4,0.08,0.07,0.0,0.0,0.01,2008
10925,Soul Bubbles,DS,Puzzle,7.0,0.08,0.05,0.0,0.02,0.01,2008
10926,Smart Bomb,PSP,Puzzle,7.0,0.08,0.07,0.0,0.0,0.01,2005
